task,split,promptbook_version,eligible,persisted_judgments,judged_eligible,missing,coverage,scored,scoreable_coverage,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,precision,negative_predictive_value,f1,balanced_accuracy,cohen_kappa,accuracy_ci95_low,accuracy_ci95_high,sensitivity_ci95_low,sensitivity_ci95_high,specificity_ci95_low,specificity_ci95_high,cohen_kappa_ci95_method,undecidable,wrong_text,unlabeled_judgments,confidence_n,confidence_min,confidence_max,confidence_mean,distinct_confidences,calibration_n,calibration_empirical_accuracy,calibration_gap,decision_confidence_brier,expected_calibration_error,models,pass_names,configuration_status,configuration_fingerprints,run_ids,configuration_sources,efforts,routes,transports
exclusion,build,v1,335,49,49,286,0.1463,48,0.1433,31,12,5,0,0.8958,1.0,0.7059,0.8611,1.0,0.9254,0.8529,0.7561,0.7783,0.9547,0.8897,1.0,0.4687,0.8672,not_estimated,0,1,0,49,0.62,0.98,0.9045,9,48,0.8958,0.0087,0.0821,0.0692,claude-sonnet-5,primary,unprovenanced_legacy,,,legacy/unprovenanced,,,
power_analysis,build,v1,120,49,49,71,0.4083,49,0.4083,3,36,5,5,0.7959,0.375,0.878,0.375,0.878,0.375,0.6265,0.253,0.6636,0.8852,0.1368,0.6943,0.7446,0.9468,not_estimated,0,0,0,49,0.55,0.9,0.7508,10,49,0.7959,-0.0451,0.155,0.0676,claude-sonnet-5,primary,comparable,40f28a118bf87ac3fb6a86dc03f392653f40ce020a164d83c8c2acadb59a2a8d,run-power_analysis-r1-34dd7a28df27c27898a9,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\power_analysis_v1_r1\run_environment.json,medium,power_analysis,reading_room
data_analysis,build,v1,120,40,40,80,0.3333,40,0.3333,1,32,3,4,0.825,0.2,0.9143,0.25,0.8889,0.2222,0.5571,0.125,0.6805,0.9125,0.0362,0.6245,0.7762,0.9704,not_estimated,0,0,0,40,0.55,0.95,0.6985,11,40,0.825,-0.1265,0.1656,0.1265,claude-sonnet-5,primary,comparable,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,run-data_analysis-r1-060a29aa3b615279e75d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
