task,split,promptbook_version,eligible,persisted_judgments,judged_eligible,missing,coverage,scored,scoreable_coverage,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,precision,negative_predictive_value,f1,balanced_accuracy,cohen_kappa,undecidable,wrong_text,unlabeled_judgments,confidence_n,confidence_min,confidence_max,confidence_mean,distinct_confidences,models,pass_names
exclusion,build,v1,335,49,49,286,0.1463,48,0.1433,31,12,5,0,0.8958,1.0,0.7059,0.8611,1.0,0.9254,0.8529,0.7561,0,1,0,49,0.62,0.98,0.9045,9,claude-sonnet-5,primary
power_analysis,build,v1,120,0,0,120,0.0,0,0.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,0,,
data_analysis,build,v1,120,0,0,120,0.0,0,0.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,0,,
