paper_id,token,task,round,stratum,chars,text_notes,outcome,detail,attempt,exit_code,duration_seconds,request_id,session_id,claude_code_version,reported_model,duration_ms,duration_api_ms,ttft_ms,num_turns,stop_reason,terminal_reason,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,billed_input_tokens,total_cost_usd,service_tier,speed,inference_geo,fast_mode_state,context_window,max_output_tokens,permission_denials
WPF7MUCV,63e4c7d41b2535d0,exclusion,1,excluded,10163,,ok,,1,0,3.67,req_011CeUaR95wAYMC7xRNwiTVw,088abd35-5823-4b69-8475-d78dc7d54a44,2.1.197,claude-sonnet-5,2152,3192,2113,1,end_turn,completed,1,101,0,8611,8612,0.059964,standard,standard,,off,,,0
WCA66X4I,564a4a3e630781b9,exclusion,1,survivor,89104,,ok,,1,0,6.45,req_011CeUaR96gKj3FjH62vzpHP,9b6edf0b-abd5-4f29-8fe1-afdabda425ae,2.1.197,claude-sonnet-5,4974,6338,4394,1,end_turn,completed,1,426,0,38952,38953,0.267992,standard,standard,,off,,,0
P6QS3RSX,2c289613702a8d00,exclusion,1,excluded,59063,,ok,,1,0,7.72,req_011CeUaR8zjKrQgWbyKds7yw,4d8bbd2c-fc97-4e63-b6a6-b560bda7bf77,2.1.197,claude-sonnet-5,6215,7582,5396,1,end_turn,completed,1,558,0,28906,28907,0.204276,standard,standard,,off,,,0
